页面key	页面名称	数据集key	PostgreSQL宽表	只读接口	数据内容	读取状态	源端已探测时间范围	当前有效读取范围	时间字段/口径	备注
bf2_input	2#高炉原料投入管理	bf2_input_list_page_data	bf_imes.imes_bf2_input_list_page_data	mes/ipes/input/listPageData.do	原料投入主表	可读	约2024-08-20至当前	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate	源端有更早数据，但程序按传感器库下限过滤
bf2_input	2#高炉原料投入管理	bf2_input_list_plan_data	bf_imes.imes_bf2_input_list_plan_data	mes/ipes/input/listPlanData.do	原料投入计划信息	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/计划日期	需要页面选择记录后才可能返回
bf2_batch_input_detail	2#高炉批次投料详情	bf2_batch_input_detail_list_page_data2	bf_imes.imes_bf2_batch_input_detail_list_page_data2	mes/ipes/input/listPageData2.do	批次投料合并明细	可读	约2024-08-20至当前	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workdate2	对应页面矿批+焦批总表
bf2_batch_input_detail	2#高炉批次投料详情	bf2_batch_input_detail_list_page_data3	bf_imes.imes_bf2_batch_input_detail_list_page_data3	mes/ipes/input/listPageData3.do	批次投料矿批	可读	约2024-08-20至当前	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workdate2	矿批料仓明细
bf2_batch_input_detail	2#高炉批次投料详情	bf2_batch_input_detail_list_page_data4	bf_imes.imes_bf2_batch_input_detail_list_page_data4	mes/ipes/input/listPageData4.do	批次投料焦批	可读	约2024-08-20至当前	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workdate2	焦批料仓明细
bf2_output	2#高炉生产实绩	bf2_output_list_cond_data	bf_imes.imes_bf2_output_list_cond_data	mes/ipes/outputM/listCondData.do	生产实绩主表	可读	约2024-08-05至当前	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate	源端有更早数据，但程序按传感器库下限过滤
bf2_output	2#高炉生产实绩	bf2_output_list_page_data	bf_imes.imes_bf2_output_list_page_data	mes/ipes/outputM/listPageData.do	生产实绩明细	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/炉次日期	需要页面选择炉次后才可能返回
bf2_output	2#高炉生产实绩	bf2_output_list_page_data2	bf_imes.imes_bf2_output_list_page_data2	mes/ipes/outputM/listPageData2.do	生产实绩附表	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/炉次日期	需要页面选择炉次后才可能返回
bf2_output	2#高炉生产实绩	bf2_output_list_page_ldata	bf_imes.imes_bf2_output_list_page_ldata	mes/ipes/outputM/listPageLData.do	生产实绩L类明细	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/炉次日期	需要页面选择炉次后才可能返回
bf2_output	2#高炉生产实绩	bf2_output_list_page_zdata	bf_imes.imes_bf2_output_list_page_zdata	mes/ipes/outputM/listPageZData.do	生产实绩Z类明细	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/炉次日期	需要页面选择炉次后才可能返回
bf2_heat_lab	2#高炉次化验结果	bf2_heat_lab_list_cond_data_avg2	bf_imes.imes_bf2_heat_lab_list_cond_data_avg2	mes/ipes/outputM/listCondDataAvg2.do	炉次化验结果均值/主表	可读	约2024-08-05至当前	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate	源端有更早数据，但程序按传感器库下限过滤
bf2_heat_lab	2#高炉次化验结果	bf2_heat_lab_list_page_data	bf_imes.imes_bf2_heat_lab_list_page_data	mes/ipes/outputM/listPageData.do	炉次化验结果明细	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/炉次日期	需要页面选择炉次后才可能返回
bf2_heat_lab	2#高炉次化验结果	bf2_heat_lab_list_page_data3	bf_imes.imes_bf2_heat_lab_list_page_data3	mes/ipes/outputM/listPageData3.do	炉次化验结果附表	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/炉次日期	需要页面选择炉次后才可能返回
bf2_slag_lab	炉渣检验结果	bf2_slag_lab_list_page_data	bf_imes.imes_bf2_slag_lab_list_page_data	mes/qpes/productManage/listPageData.do	炉渣检验主表/页面数据	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/检验日期	默认条件可能为空
bf2_slag_lab	炉渣检验结果	bf2_slag_lab_list_insp_data2	bf_imes.imes_bf2_slag_lab_list_insp_data2	mes/qpes/productManage/listInspData2.do	炉渣检验明细2	可读	未完整探明，当前日期有数据	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/检验日期	按炉次/日期返回
bf2_slag_lab	炉渣检验结果	bf2_slag_lab_list_insp_data3	bf_imes.imes_bf2_slag_lab_list_insp_data3	mes/qpes/productManage/listInspData3.do	炉渣检验明细3	可读	约2024-09-11至当前	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/检验日期	源端有更早数据，但程序按传感器库下限过滤
bf2_heat_lab_all	2#炉次化验结果全	bf2_heat_lab_all_list_cond_data_avg2_new	bf_imes.imes_bf2_heat_lab_all_list_cond_data_avg2_new	mes/ipes/outputM/listCondDataAvg2New.do	炉次化验结果全量新接口	可读	未完整探明，当前日期有数据	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate	新接口宽表字段较多，作为化验全量补充
bf2_operation_log_report	报表管理→冀南高炉报表→冀南新区高炉作业日志	bf2_operation_log_report	bf_imes.imes_bf2_operation_log_report	demo/reportServlet?action=8;demo/reportJsp/queryInput.jsp	2#高炉作业日志报表全部返回单元格、批数、煤比和燃料比	可读（Raqsoft两段POST）	2026-02-09至当前已回填	2026-02-09至当前；计划任务每5分钟同步当天	报表日期time1；D列批数；M列燃料比公式重算	通过220.12:18084代理访问10.10.181.205:8080；料速不由批数推断，material_rate标记semantic_unconfirmed
